/* DATA DESCRIPTION:
Citation:	Kudrass, H-R et al. (2001): Volume susceptibility of sediment core SO93-126KL. Dataset #58760 (DOI registration in progress), 
	In Supplement to: Kudrass, Hermann-Rudolph; Hofmann, Annette; Doose, Heidi; Emeis, Kay-Christian; Erlenkeuser, Helmut (2001): Modulation and amplification of climatic changes in the Northern Hemisphere by the Indian summer monsoon during the past 80 k.y. Geology, 29(1), 63-66, doi:10.1130/0091-7613(2001)029<0063:MAAOCC>2.0.CO;2
Coverage:	LATITUDE: 19.973333 * LONGITUDE: 90.033333
	MINIMUM AGE: 13.152 ka BP * MAXIMUM AGE: 101.408 ka BP
	DATE/TIME START: 1994-01-15T00:00:00 * DATE/TIME END: 1994-01-15T00:00:00
	MINIMUM DEPTH, sediment/rock: 1.0 m * MAXIMUM DEPTH, sediment/rock: 8.8 m
Event(s):	SO93-126KL * LATITUDE: 19.973333 * LONGITUDE: 90.033333 * DATE/TIME: 1994-01-15T00:00:00 * ELEVATION: -1250.0 m * LOCATION: Bengal Fan * CAMPAIGN: SO93 (BENGAL FÄCHER) * BASIS: Sonne (URI: http://www.bgr.de/fs_sonne/) * DEVICE: Piston corer (BGR type) (KL) * COMMENT: continental slope, upslope thickening
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * Geocode
	AGE [ka BP] (Age) * Geocode
	Susceptibility, volume [10**-6 SI] (kappa) * PI: Hofmann, Annette (eMail: Annette.Hofmann@multibrid.com) * METHOD: Bartington MS2C coil sensor
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	778 data points
*/
Depth [m]	Age [ka BP]	kappa [10**-6 SI]
6.41	67.694	330
6.42	67.880	315
6.43	68.066	315
6.44	68.251	330
6.45	68.437	330
6.46	68.509	360
6.47	68.580	330
6.48	68.652	345
6.49	68.724	375
6.50	68.795	420
6.51	68.867	435
6.52	68.938	450
6.53	69.010	450
6.54	69.082	390
6.55	69.153	420
6.56	69.225	405
6.57	69.296	390
6.58	69.368	375
6.59	69.446	365
6.60	69.523	375
6.61	69.600	380
6.62	69.678	435
6.63	69.833	450
6.64	69.988	450
6.65	70.146	345
6.66	70.304	345
6.67	70.492	315
6.68	70.680	270
6.69	70.869	240
6.70	71.057	235
6.71	71.245	230
6.72	71.433	235
6.73	71.622	225
6.74	71.810	225
6.75	71.998	300
6.76	72.186	310
6.77	72.374	285
6.78	72.563	270
6.79	72.751	220
6.80	72.848	210
6.81	72.945	240
6.82	73.042	290
6.83	73.139	300
6.84	73.235	255
6.85	73.332	270
6.86	73.429	255
6.87	73.526	270
6.88	73.623	290
6.89	73.839	315
6.90	74.054	285
6.91	74.270	255
6.92	74.486	195
6.93	74.701	210
6.94	74.917	180
6.95	75.133	195
6.96	75.348	165
6.97	75.564	135
6.98	75.702	180
6.99	75.840	135
7.00	75.977	165
7.01	76.115	135
7.02	76.253	120
7.03	76.391	105
7.04	76.529	105
7.05	76.666	100
7.06	76.804	100
7.07	76.942	95
7.08	77.080	95
7.09	77.218	90
7.10	77.355	90
7.11	77.493	85
7.12	77.631	85
7.13	77.769	80
7.14	77.906	80
7.15	78.044	75
7.16	78.182	75
7.17	78.320	75
7.18	78.458	75
7.19	78.595	60
7.20	78.733	75
7.21	78.871	90
7.22	79.009	90
7.23	79.147	85
7.24	79.284	85
7.25	79.422	75
7.26	79.560	80
7.27	79.698	75
7.28	79.836	70
7.29	79.973	70
7.30	80.111	105
7.31	80.249	60
7.32	80.387	90
7.33	80.525	120
7.34	80.662	135
7.35	80.800	150
7.36	80.938	150
7.37	81.076	135
7.38	81.214	165
7.39	81.351	150
7.40	81.489	150
7.41	81.627	165
7.42	81.765	120
7.43	81.902	135
7.44	82.040	135
7.45	82.178	135
7.46	82.316	150
7.47	82.454	135
7.48	82.591	120
7.49	82.729	150
7.50	82.867	180
7.51	83.005	165
7.52	83.143	195
7.53	83.280	165
7.54	83.418	165
7.55	83.556	180
7.56	83.704	210
7.57	83.851	210
7.58	83.999	225
7.59	84.146	210
7.60	84.294	225
7.61	84.442	240
7.62	84.589	255
7.63	84.737	240
7.64	84.884	240
7.65	85.032	255
7.66	85.180	225
7.67	85.327	255
7.68	85.475	270
7.69	85.622	225
7.70	85.770	240
7.71	85.918	285
7.72	86.065	285
7.73	86.213	300
7.74	86.360	255
7.75	86.508	300
7.76	86.576	300
7.77	86.645	300
7.78	86.713	300
7.79	86.782	300
7.80	86.850	330
7.81	86.918	330
7.82	86.987	270
7.83	87.055	300
7.84	87.124	315
7.85	87.192	315
7.86	87.260	315
7.87	87.329	285
7.88	87.397	255
7.89	87.466	300
7.90	87.534	300
7.91	87.602	300
7.92	87.671	300
7.93	87.739	285
7.94	87.808	270
7.95	87.876	225
7.96	87.944	210
7.97	88.013	210
7.98	88.081	225
7.99	88.150	210
8.00	88.218	195
8.01	88.286	225
8.02	88.355	165
8.03	88.423	150
8.04	88.492	195
8.05	88.560	210
8.06	88.628	195
8.07	88.697	225
8.08	88.765	195
8.09	88.834	210
8.10	88.902	195
8.11	88.970	210
8.12	89.039	240
8.13	89.107	195
8.14	89.176	225
8.15	89.244	210
8.16	89.338	225
8.17	89.433	225
8.18	89.527	210
8.19	89.621	225
8.20	89.715	225
8.21	89.810	240
8.22	89.904	240
8.23	89.998	270
8.24	90.092	270
8.25	90.187	270
8.26	90.281	255
8.27	90.375	270
8.28	90.470	270
8.29	90.564	285
8.30	90.658	270
8.31	90.752	270
8.32	90.847	255
8.33	90.941	240
8.34	91.035	270
8.35	91.130	240
8.36	91.224	270
8.37	91.318	255
8.38	91.412	270
8.39	91.507	225
8.40	91.601	255
8.41	91.695	255
8.42	91.789	270
8.43	91.884	255
8.44	91.978	255
8.45	92.072	255
8.46	92.166	255
8.47	92.261	270
8.48	92.355	255
8.49	92.449	255
8.50	92.544	255
8.51	92.638	240
8.52	92.732	225
8.53	92.826	225
8.54	92.921	255
8.55	93.015	240
8.56	93.396	240
8.57	93.778	240
8.58	94.159	240
8.59	94.541	225
8.60	94.922	225
8.61	95.304	210
8.62	95.685	210
8.63	96.067	195
8.64	96.448	195
8.65	96.830	210
8.66	97.211	225
8.67	97.593	210
8.68	97.974	210
8.69	98.356	180
8.70	98.737	165
8.71	99.119	180
8.72	99.500	150
8.73	99.882	120
8.74	100.263	165
8.75	100.645	150
8.76	101.026	150
8.77	101.408	135
