/* DATA DESCRIPTION:
Citation:	Kudrass, H-R et al. (2001): Stable oxygen isotope ratios measured on Globigerinoides ruber from sediment core SO93-126KL. doi:10.1594/PANGAEA.58759, 
	In Supplement to: Kudrass, Hermann-Rudolph; Hofmann, Annette; Doose, Heidi; Emeis, Kay-Christian; Erlenkeuser, Helmut (2001): Modulation and amplification of climatic changes in the Northern Hemisphere by the Indian summer monsoon during the past 80 k.y. Geology, 29(1), 63-66, doi:10.1130/0091-7613(2001)029<0063:MAAOCC>2.0.CO;2
Coverage:	LATITUDE: 19.973333 * LONGITUDE: 90.033333
	MINIMUM AGE: 0.000 ka BP * MAXIMUM AGE: 100.263 ka BP
	DATE/TIME START: 1994-01-15T00:00:00 * DATE/TIME END: 1994-01-15T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.0 m * MAXIMUM DEPTH, sediment/rock: 8.7 m
Event(s):	SO93-126KL * LATITUDE: 19.973333 * LONGITUDE: 90.033333 * DATE/TIME: 1994-01-15T00:00:00 * ELEVATION: -1250.0 m * LOCATION: Bengal Fan * CAMPAIGN: SO93 (BENGAL FÄCHER) * BASIS: Sonne (URI: http://www.bgr.de/fs_sonne/) * DEVICE: Piston corer (BGR type) (KL) * COMMENT: continental slope, upslope thickening
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * Geocode
	AGE [ka BP] (Age) * Geocode
	Globigerinoides ruber white, d18O [per mil PDB] (G. ruber w d18O) * PI: Hofmann, Annette (eMail: Annette.Hofmann@multibrid.com) * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	875 data points
*/
Depth [m]	Age [ka BP]	G. ruber w d18O [per mil PDB]
1.61	16.688	-0.98
1.62	16.732	-1.06
1.63	16.775	-1.14
1.64	16.804	-1.06
1.65	16.832	-0.99
1.66	16.861	-0.91
1.67	16.889	-0.83
1.68	16.918	-0.78
1.69	16.946	-0.74
1.70	16.975	-0.69
1.71	17.003	-0.64
1.72	17.032	-0.67
1.73	17.060	-0.70
1.74	17.089	-0.72
1.75	17.230	-0.75
1.76	17.372	-0.80
1.77	17.513	-0.85
1.78	17.654	-0.89
1.79	17.795	-0.94
1.80	17.937	-0.93
1.81	18.078	-0.92
1.82	18.260	-1.01
1.83	18.443	-1.09
1.84	18.625	-1.16
1.85	18.807	-1.22
1.86	18.990	-1.27
1.87	19.172	-1.31
1.88	19.348	-1.29
1.89	19.525	-1.27
1.90	19.701	-1.23
1.91	19.878	-1.19
1.92	20.054	-1.15
1.93	20.230	-1.18
1.94	20.407	-1.21
1.95	20.583	-1.24
1.96	20.686	-1.10
1.97	20.790	-0.96
1.98	20.893	-0.97
1.99	20.997	-0.99
2.00	21.100	-1.00
2.01	21.204	-0.85
2.02	21.307	-0.70
2.03	21.488	-0.74
2.04	21.670	-0.78
2.05	21.851	-0.82
2.06	22.033	-1.06
2.07	22.214	-1.30
2.08	22.350	-1.20
2.09	22.486	-1.09
2.10	22.622	-0.99
2.11	22.758	-1.07
2.12	22.895	-1.15
2.13	23.031	-1.18
2.14	23.167	-1.20
2.15	23.303	-1.23
2.16	23.442	-1.05
2.17	23.582	-0.86
2.18	23.721	-0.82
2.19	23.861	-0.78
2.20	24.000	-0.74
2.21	24.067	-0.83
2.22	24.133	-0.92
2.23	24.200	-0.89
2.24	24.266	-0.86
2.25	24.333	-0.83
2.26	24.400	-0.86
2.27	24.466	-0.88
2.28	24.533	-1.00
2.29	24.599	-1.12
2.30	24.666	-1.24
2.31	24.733	-1.22
2.32	24.799	-1.20
2.33	24.866	-1.27
2.34	24.932	-1.34
2.35	24.999	-1.41
2.36	25.104	-1.29
2.37	25.209	-1.16
2.38	25.315	-1.14
2.39	25.420	-1.12
2.40	25.525	-1.10
2.41	25.659	-1.20
2.42	25.793	-1.29
2.43	25.886	-1.27
2.44	25.979	-1.26
2.45	26.072	-1.24
2.46	26.179	-1.29
2.47	26.287	-1.34
2.48	26.394	-1.39
2.49	26.502	-1.45
2.50	26.609	-1.50
2.51	26.719	-1.40
2.52	26.830	-1.29
2.53	26.940	-1.30
2.54	27.050	-1.30
2.55	27.160	-1.31
2.56	27.271	-1.24
2.57	27.381	-1.16
2.58	27.452	-1.23
2.59	27.523	-1.29
2.60	27.594	-1.36
2.61	27.665	-1.48
2.62	27.736	-1.59
2.63	27.846	-1.50
2.64	27.956	-1.41
2.65	28.067	-1.32
2.66	28.177	-1.28
2.67	28.287	-1.24
2.68	28.369	-1.30
2.69	28.450	-1.35
2.70	28.532	-1.41
2.71	28.614	-1.44
2.72	28.696	-1.46
2.73	28.778	-1.51
2.74	28.859	-1.55
2.75	28.941	-1.60
2.76	29.062	-1.55
2.77	29.184	-1.49
2.78	29.305	-1.37
2.79	29.427	-1.24
2.80	29.548	-1.12
2.81	29.890	-1.29
2.82	30.233	-1.46
2.83	30.374	-1.47
2.84	30.515	-1.48
2.85	30.656	-1.49
2.86	30.797	-1.46
2.87	30.938	-1.43
2.88	31.079	-1.42
2.89	31.220	-1.40
2.90	31.361	-1.39
2.91	31.502	-1.36
2.92	31.643	-1.32
2.93	31.844	-1.51
2.94	32.044	-1.69
2.95	32.245	-1.88
2.96	32.366	-1.75
2.97	32.487	-1.61
2.98	32.608	-1.59
2.99	32.729	-1.56
3.00	32.850	-1.54
3.01	32.971	-1.56
3.02	33.092	-1.58
3.03	33.213	-1.59
3.04	33.334	-1.60
3.05	33.455	-1.61
3.06	33.624	-1.50
3.07	33.793	-1.39
3.08	33.963	-1.43
3.09	34.132	-1.47
3.10	34.301	-1.51
3.11	34.470	-1.56
3.12	34.639	-1.60
3.13	34.809	-1.74
3.14	34.978	-1.88
3.15	35.147	-2.02
3.16	35.426	-1.85
3.17	35.706	-1.67
3.18	35.929	-1.72
3.19	36.153	-1.76
3.20	36.376	-1.81
3.21	36.570	-1.70
3.22	36.765	-1.58
3.23	36.959	-1.66
3.24	37.154	-1.75
3.25	37.348	-1.83
3.26	37.542	-1.83
3.27	37.737	-1.82
3.28	37.931	-1.85
3.29	38.126	-1.87
3.30	38.320	-1.90
3.31	38.344	-1.75
3.32	38.369	-1.59
3.33	38.394	-1.63
3.34	38.418	-1.66
3.35	38.442	-1.70
3.36	38.467	-1.54
3.37	38.492	-1.38
3.38	38.516	-1.31
3.39	38.540	-1.25
3.40	38.565	-1.18
3.41	38.887	-1.17
3.42	39.208	-1.16
3.43	39.530	-1.17
3.44	39.852	-1.18
3.45	39.887	-1.19
3.46	39.922	-1.39
3.47	39.958	-1.58
3.48	39.993	-1.61
3.49	40.028	-1.63
3.50	40.064	-1.66
3.51	40.099	-1.73
3.52	40.134	-1.79
3.53	40.188	-1.71
3.54	40.241	-1.62
3.55	40.294	-1.54
3.56	40.348	-1.53
3.57	40.402	-1.51
3.58	40.455	-1.43
3.59	40.508	-1.36
3.60	40.562	-1.28
3.61	40.650	-1.41
3.62	40.738	-1.54
3.63	40.826	-1.60
3.64	40.915	-1.66
3.65	41.003	-1.72
3.66	41.091	-1.71
3.67	41.192	-1.70
3.68	41.294	-1.56
3.69	41.396	-1.41
3.70	41.497	-1.27
3.71	41.625	-1.28
3.72	41.753	-1.29
3.73	41.881	-1.42
3.74	42.009	-1.56
3.75	42.137	-1.69
3.76	42.265	-1.74
3.77	42.393	-1.78
3.78	42.500	-1.70
3.79	42.606	-1.63
3.80	42.713	-1.55
3.81	42.831	-1.58
3.82	42.950	-1.60
3.83	43.068	-1.62
3.84	43.187	-1.63
3.85	43.305	-1.65
3.86	43.421	-1.54
3.87	43.538	-1.43
3.88	43.654	-1.48
3.89	43.770	-1.52
3.90	43.887	-1.57
3.91	44.003	-1.53
3.92	44.120	-1.49
3.93	44.236	-1.55
3.94	44.352	-1.62
3.95	44.468	-1.68
3.96	44.585	-1.80
3.97	44.701	-1.91
3.98	44.818	-1.87
3.99	44.934	-1.82
4.00	45.050	-1.78
4.01	45.167	-1.83
4.02	45.283	-1.88
4.03	45.310	-1.85
4.04	45.338	-1.81
4.05	45.365	-1.78
4.06	45.393	-1.60
4.07	45.420	-1.42
4.08	45.448	-1.38
4.09	45.475	-1.34
4.10	45.503	-1.30
4.11	45.530	-1.34
4.12	45.558	-1.38
4.13	45.585	-1.36
4.14	45.655	-1.35
4.15	45.725	-1.33
4.16	45.794	-1.37
4.17	45.864	-1.40
4.18	45.934	-1.40
4.19	46.004	-1.41
4.20	46.074	-1.41
4.21	46.143	-1.45
4.22	46.213	-1.48
4.23	46.283	-1.58
4.24	46.353	-1.67
4.25	46.422	-1.77
4.26	46.492	-1.75
4.27	46.562	-1.72
4.28	46.632	-1.74
4.29	46.702	-1.76
4.30	46.771	-1.78
4.31	46.841	-1.82
4.32	46.911	-1.86
4.33	46.953	-1.84
4.34	46.994	-1.81
4.35	47.036	-1.79
4.36	47.078	-1.80
4.37	47.120	-1.80
4.38	47.162	-1.76
4.39	47.203	-1.72
4.40	47.245	-1.68
4.41	47.609	-1.79
4.42	47.972	-1.89
4.43	48.336	-1.92
4.44	48.699	-1.95
4.45	49.063	-1.98
4.46	49.426	-1.93
4.47	49.790	-1.87
4.48	50.154	-1.91
4.49	50.517	-1.94
4.50	50.881	-1.98
4.51	51.244	-2.18
4.52	51.608	-2.37
4.53	51.918	-2.17
4.54	52.228	-1.98
4.55	52.538	-1.78
4.56	52.639	-1.93
4.57	52.740	-2.08
4.58	52.891	-2.07
4.59	53.043	-2.07
4.60	53.194	-2.06
4.61	53.346	-2.17
4.62	53.497	-2.27
4.63	53.559	-2.24
4.64	53.621	-2.20
4.65	53.682	-2.17
4.66	53.744	-2.01
4.67	53.806	-1.85
4.68	53.868	-1.73
4.69	53.930	-1.62
4.70	53.991	-1.50
4.71	54.053	-1.50
4.72	54.296	-1.50
4.73	54.539	-1.61
4.74	54.781	-1.73
4.75	55.024	-1.84
4.76	55.267	-1.93
4.77	55.510	-2.02
4.78	55.752	-2.04
4.79	55.995	-2.05
4.80	56.238	-2.07
4.81	56.367	-1.98
4.82	56.496	-1.89
4.83	56.626	-1.87
4.84	56.755	-1.85
4.85	56.884	-1.83
4.86	57.015	-1.86
4.87	57.146	-1.89
4.88	57.277	-1.97
4.89	57.408	-2.05
4.90	57.539	-2.13
4.91	57.581	-1.99
4.92	57.623	-1.85
4.93	57.665	-1.78
4.94	57.707	-1.72
4.95	57.749	-1.65
4.96	57.791	-1.62
4.97	57.833	-1.59
4.98	57.875	-1.55
4.99	57.917	-1.51
5.00	57.959	-1.47
5.01	58.001	-1.41
5.02	58.043	-1.35
5.03	58.085	-1.43
5.04	58.127	-1.50
5.05	58.169	-1.58
5.06	58.211	-1.44
5.07	58.253	-1.30
5.08	58.295	-1.35
5.09	58.337	-1.39
5.10	58.379	-1.44
5.11	58.421	-1.40
5.12	58.463	-1.36
5.13	58.505	-1.47
5.14	58.547	-1.57
5.15	58.589	-1.68
5.16	58.631	-1.60
5.17	58.673	-1.51
5.18	58.715	-1.45
5.19	58.757	-1.40
5.20	58.799	-1.34
5.21	58.841	-1.36
5.22	58.883	-1.38
5.23	58.925	-1.33
5.24	58.967	-1.27
5.25	59.009	-1.22
5.26	59.051	-1.24
5.27	59.093	-1.25
5.28	59.135	-1.21
5.29	59.177	-1.16
5.30	59.219	-1.12
5.31	59.306	-1.22
5.32	59.393	-1.31
5.33	59.480	-1.32
5.34	59.567	-1.32
5.35	59.654	-1.33
5.36	59.741	-1.38
5.37	59.828	-1.42
5.38	59.915	-1.41
5.39	60.002	-1.41
5.40	60.089	-1.40
5.41	60.176	-1.33
5.42	60.263	-1.26
5.43	60.350	-1.24
5.44	60.437	-1.22
5.45	60.524	-1.20
5.46	60.620	-1.27
5.47	60.716	-1.33
5.48	60.812	-1.42
5.49	60.909	-1.50
5.50	61.005	-1.59
5.51	61.101	-1.58
5.52	61.197	-1.57
5.53	61.293	-1.62
5.54	61.389	-1.68
5.55	61.485	-1.73
5.56	61.582	-1.70
5.57	61.678	-1.67
5.58	61.774	-1.68
5.59	61.870	-1.68
5.60	61.916	-1.69
5.61	61.962	-1.57
5.62	62.008	-1.44
5.63	62.054	-1.44
5.64	62.100	-1.43
5.65	62.146	-1.43
5.66	62.192	-1.54
5.67	62.238	-1.65
5.68	62.284	-1.66
5.69	62.330	-1.67
5.70	62.376	-1.68
5.71	62.422	-1.54
5.72	62.468	-1.39
5.73	62.514	-1.51
5.74	62.560	-1.63
5.75	62.606	-1.75
5.76	62.652	-1.58
5.77	62.698	-1.40
5.78	62.744	-1.37
5.79	62.790	-1.34
5.80	62.836	-1.31
5.81	62.882	-1.30
5.82	62.928	-1.28
5.83	62.974	-1.25
5.84	63.020	-1.21
5.85	63.066	-1.18
5.86	63.102	-1.24
5.87	63.139	-1.30
5.88	63.175	-1.36
5.89	63.211	-1.42
5.90	63.248	-1.48
5.91	63.284	-1.48
5.92	63.320	-1.47
5.93	63.357	-1.46
5.94	63.393	-1.46
5.95	63.430	-1.45
5.96	63.466	-1.45
5.97	63.502	-1.44
5.98	63.539	-1.44
5.99	63.575	-1.45
6.00	63.611	-1.45
6.01	63.648	-1.52
6.02	63.684	-1.58
6.03	63.720	-1.45
6.04	63.757	-1.32
6.05	63.793	-1.19
6.06	63.829	-1.33
6.07	63.866	-1.47
6.08	63.902	-1.47
6.09	63.938	-1.46
6.10	63.975	-1.46
6.11	64.011	-1.37
6.12	64.048	-1.28
6.13	64.084	-1.32
6.14	64.120	-1.36
6.15	64.156	-1.40
6.16	64.193	-1.39
6.17	64.229	-1.38
6.18	64.266	-1.36
6.19	64.302	-1.35
6.20	64.338	-1.34
6.21	64.375	-1.29
6.22	64.411	-1.24
6.23	64.632	-1.38
6.24	64.853	-1.51
6.25	65.074	-1.49
6.26	65.294	-1.47
6.27	65.515	-1.56
6.28	65.736	-1.65
6.29	65.808	-1.63
6.30	65.879	-1.60
6.31	65.950	-1.55
6.32	66.022	-1.49
6.33	66.208	-1.55
6.34	66.394	-1.61
6.35	66.579	-1.95
6.36	66.765	-1.74
6.37	66.951	-1.87
6.38	67.137	-2.00
6.39	67.322	-1.98
6.40	67.508	-1.95
6.41	67.694	-2.01
6.42	67.880	-2.07
6.43	68.066	-2.14
6.44	68.251	-2.20
6.45	68.437	-2.21
6.46	68.509	-2.21
6.47	68.580	-2.15
6.48	68.652	-2.08
6.49	68.724	-1.96
6.50	68.795	-1.84
6.51	68.867	-1.81
6.52	68.938	-1.77
6.53	69.010	-1.65
6.54	69.082	-1.53
6.55	69.153	-1.83
6.56	69.225	-1.89
6.57	69.296	-1.94
6.58	69.368	-2.00
6.59	69.446	-1.94
6.60	69.523	-1.87
6.61	69.600	-1.78
6.62	69.678	-1.69
6.63	69.833	-1.78
6.64	69.988	-1.88
6.65	70.146	-1.99
6.66	70.304	-2.09
6.67	70.492	-1.83
6.68	70.680	-2.10
6.69	70.869	-2.12
6.70	71.057	-2.14
6.71	71.245	-2.15
6.72	71.433	-2.16
6.73	71.622	-2.20
6.74	71.810	-2.25
6.75	71.998	-2.29
6.76	72.186	-2.16
6.77	72.374	-2.33
6.78	72.563	-2.50
6.79	72.751	-2.49
6.80	72.848	-2.47
6.81	72.945	-2.26
6.82	73.042	-2.05
6.83	73.139	-2.15
6.84	73.235	-2.24
6.85	73.332	-2.12
6.86	73.429	-1.99
6.87	73.526	-1.92
6.88	73.623	-1.84
6.89	73.839	-1.95
6.90	74.054	-2.05
6.91	74.270	-2.11
6.92	74.486	-2.16
6.93	74.701	-2.22
6.94	74.917	-2.27
6.95	75.133	-2.33
6.96	75.348	-2.35
6.97	75.564	-2.37
6.98	75.702	-2.39
6.99	75.840	-2.41
7.00	75.977	-2.43
7.01	76.115	-2.45
7.02	76.253	-2.47
7.03	76.391	-2.49
7.04	76.529	-2.51
7.05	76.666	-2.53
7.06	76.804	-2.54
7.07	76.942	-2.56
7.08	77.080	-2.58
7.09	77.218	-2.60
7.10	77.355	-2.62
7.11	77.493	-2.64
7.12	77.631	-2.66
7.13	77.769	-2.68
7.14	77.906	-2.70
7.15	78.044	-2.72
7.16	78.182	-2.72
7.17	78.320	-2.73
7.18	78.458	-2.73
7.19	78.595	-2.74
7.20	78.733	-2.74
7.21	78.871	-2.75
7.22	79.009	-2.75
7.23	79.147	-2.76
7.24	79.284	-2.76
7.25	79.422	-2.77
7.26	79.560	-2.77
7.27	79.698	-2.77
7.28	79.836	-2.78
7.29	79.973	-2.78
7.30	80.111	-2.79
7.31	80.249	-2.79
7.32	80.387	-2.80
7.33	80.525	-2.80
7.34	80.662	-2.81
7.35	80.800	-2.81
7.36	80.938	-2.82
7.37	81.076	-2.83
7.38	81.214	-2.84
7.39	81.351	-2.85
7.40	81.489	-2.86
7.41	81.627	-2.87
7.42	81.765	-2.88
7.43	81.902	-2.89
7.44	82.040	-2.90
7.45	82.178	-2.92
7.46	82.316	-2.93
7.47	82.454	-2.94
7.48	82.591	-2.95
7.49	82.729	-2.96
7.50	82.867	-2.97
7.51	83.005	-2.98
7.52	83.143	-2.99
7.53	83.280	-3.00
7.54	83.418	-3.01
7.55	83.556	-3.02
7.56	83.704	-2.95
7.57	83.851	-2.87
7.58	83.999	-2.80
7.59	84.146	-2.73
7.60	84.294	-2.66
7.61	84.442	-2.58
7.62	84.589	-2.51
7.63	84.737	-2.44
7.64	84.884	-2.36
7.65	85.032	-2.29
7.66	85.180	-2.23
7.67	85.327	-2.18
7.68	85.475	-2.12
7.69	85.622	-2.07
7.70	85.770	-2.01
7.71	85.918	-1.95
7.72	86.065	-1.90
7.73	86.213	-1.84
7.74	86.360	-1.79
7.75	86.508	-1.73
7.76	86.576	-1.75
7.77	86.645	-1.77
7.78	86.713	-1.79
7.79	86.782	-1.81
7.80	86.850	-1.83
7.81	86.918	-1.84
7.82	86.987	-1.86
7.83	87.055	-1.88
7.84	87.124	-1.90
7.85	87.192	-1.92
7.86	87.260	-1.91
7.87	87.329	-1.89
7.88	87.397	-1.88
7.89	87.466	-1.87
7.90	87.534	-1.86
7.91	87.602	-1.84
7.92	87.671	-1.83
7.93	87.739	-1.82
7.94	87.808	-1.80
7.95	87.876	-1.79
7.96	87.944	-1.84
7.97	88.013	-1.89
7.98	88.081	-1.93
7.99	88.150	-1.98
8.00	88.218	-2.03
8.01	88.286	-2.08
8.02	88.355	-2.12
8.03	88.423	-2.17
8.04	88.492	-2.22
8.05	88.560	-2.27
8.06	88.628	-2.31
8.07	88.697	-2.36
8.08	88.765	-2.41
8.09	88.834	-2.46
8.10	88.902	-2.50
8.11	88.970	-2.55
8.12	89.039	-2.60
8.13	89.107	-2.65
8.14	89.176	-2.69
8.15	89.244	-2.74
8.16	89.338	-2.72
8.17	89.433	-2.69
8.18	89.527	-2.67
8.19	89.621	-2.64
8.20	89.715	-2.62
8.21	89.810	-2.59
8.22	89.904	-2.57
8.23	89.998	-2.54
8.24	90.092	-2.52
8.25	90.187	-2.50
8.26	90.281	-2.47
8.27	90.375	-2.45
8.28	90.470	-2.42
8.29	90.564	-2.40
8.30	90.658	-2.37
8.31	90.752	-2.35
8.32	90.847	-2.32
8.33	90.941	-2.30
8.34	91.035	-2.27
8.35	91.130	-2.25
8.36	91.224	-2.24
8.37	91.318	-2.23
8.38	91.412	-2.22
8.39	91.507	-2.21
8.40	91.601	-2.20
8.41	91.695	-2.19
8.42	91.789	-2.18
8.43	91.884	-2.17
8.44	91.978	-2.16
8.45	92.072	-2.15
8.46	92.166	-2.14
8.47	92.261	-2.13
8.48	92.355	-2.12
8.49	92.449	-2.11
8.50	92.544	-2.10
8.51	92.638	-2.09
8.52	92.732	-2.08
8.53	92.826	-2.07
8.54	92.921	-2.06
8.55	93.015	-2.05
8.56	93.396	-2.09
8.57	93.778	-2.13
8.58	94.159	-2.17
8.59	94.541	-2.20
8.60	94.922	-2.24
8.61	95.304	-2.28
8.62	95.685	-2.32
8.63	96.067	-2.36
8.64	96.448	-2.40
8.65	96.830	-2.44
8.66	97.211	-2.47
8.67	97.593	-2.51
8.68	97.974	-2.55
8.69	98.356	-2.59
8.70	98.737	-2.63
8.71	99.119	-2.67
8.72	99.500	-2.70
8.73	99.882	-2.74
8.74	100.263	-2.78
