/* DATA DESCRIPTION:
Citation:	Zhao, M et al. (2001): Alkenones, SST (annual mean) of sediment core MD97-2151. doi:10.1594/PANGAEA.65431, 
	In Supplement to: Zhao, Meixun; Huang, Chi-Yue; Wang, Chia-Chun; Wei, Ganjian (2006): A millennial-scale U37K' sea-surface temperature record from the South China Sea (8°N) over the last 150 kyr: Monsoon and sea-level influence. Palaeogeography, Palaeoclimatology, Palaeoecology, 236(1-2), 39-55, doi:10.1016/j.palaeo.2005.11.033
Project(s):	International Marine Global Change Study (IMAGES)
Coverage:	LATITUDE: 8.728000 * LONGITUDE: 109.869000
	MINIMUM DEPTH, sediment/rock: 0.0 m * MAXIMUM DEPTH, sediment/rock: 26.5 m
Event(s):	MD97-2151 (MD972151) * LATITUDE: 8.728000 * LONGITUDE: 109.869000 * ELEVATION: -1598.0 m * RECOVERY: 26.72 m * LOCATION: South China Sea (URI: http://en.wikipedia.org/wiki/South_China_Sea) * CAMPAIGN: MD106 (IMAGES III - IPHIS) (URI: http://www.ifremer.fr/sismer/UK/catal/campagne/campagnea.htql?crno=97200010) * BASIS: Marion Dufresne (URI: http://www.institut-polaire.fr/ipev/bases_et_navires/le_marion_dufresne) * DEVICE: Calypso Corer (CALYPSO)
Parameter(s):	DEPTH, sediment/rock [m] (Depth)
	Alkenone, unsaturation index UK'37 (UK'37) * PI: Chen, Min-Te (eMail: mtchen@mail.ntou.edu.tw) * METHOD: Calculated from C37 alkenones (Zhao, M et al, 1995) (URI: doi:10.1029/94PA03354)
	Sea surface temperature, annual mean [°C] (SST (1-12)) * PI: Chen, Min-Te (eMail: mtchen@mail.ntou.edu.tw) * METHOD: Calculated from UK37 (Pelejero & Grimalt, 1997) (URI: doi:10.1016/S0016-7037(97)00280-9)
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	2214 data points
*/
Depth [m]	UK'37	SST (1-12) [°C]
7.565	0.872	25.153
7.585	0.873	25.206
7.605	0.882	25.468
7.625	0.875	25.267
7.645	0.876	25.291
7.665	0.892	25.793
7.685	0.868	25.029
7.705	0.874	25.220
7.725	0.870	25.110
7.745	0.854	24.571
7.765	0.856	24.642
7.785	0.856	24.638
7.805	0.869	25.048
7.825	0.860	24.786
7.845	0.865	24.940
7.865	0.867	24.984
7.885	0.868	25.024
7.925	0.876	25.281
7.945	0.870	25.100
7.965	0.877	25.307
7.985	0.895	25.890
8.005	0.878	25.337
8.045	0.862	24.825
8.065	0.865	24.943
8.085	0.860	24.764
8.105	0.868	25.016
8.145	0.867	24.986
8.165	0.877	25.307
8.185	0.854	24.566
8.205	0.855	24.627
8.245	0.861	24.810
8.265	0.873	25.184
8.285	0.867	25.000
8.305	0.864	24.910
8.345	0.853	24.533
8.365	0.848	24.388
8.385	0.849	24.429
8.405	0.851	24.478
8.425	0.866	24.964
8.445	0.866	24.981
8.465	0.866	24.969
8.485	0.872	25.168
8.505	0.864	24.910
8.525	0.852	24.513
8.545	0.851	24.493
8.565	0.863	24.857
8.585	0.863	24.858
8.605	0.868	25.026
8.645	0.870	25.081
8.665	0.862	24.825
8.685	0.869	25.048
8.725	0.873	25.180
8.745	0.884	25.533
8.765	0.872	25.155
8.785	0.852	24.517
8.805	0.853	24.560
8.825	0.857	24.684
8.845	0.850	24.437
8.865	0.845	24.295
8.885	0.874	25.237
8.905	0.873	25.189
8.925	0.859	24.749
8.945	0.854	24.575
8.965	0.871	25.131
9.025	0.875	25.257
9.045	0.880	25.429
9.065	0.891	25.765
9.085	0.882	25.481
9.105	0.866	24.957
9.125	0.875	25.263
9.145	0.870	25.107
9.185	0.872	25.160
9.205	0.879	25.388
9.225	0.867	25.003
9.245	0.881	25.456
9.285	0.870	25.108
9.305	0.855	24.612
9.325	0.860	24.780
9.345	0.856	24.639
9.365	0.867	25.006
9.385	0.860	24.782
9.405	0.857	24.681
9.425	0.858	24.697
9.445	0.865	24.928
9.465	0.861	24.814
9.485	0.866	24.962
9.505	0.874	25.213
9.525	0.863	24.881
9.545	0.846	24.313
9.565	0.863	24.871
9.585	0.855	24.625
9.605	0.863	24.868
9.625	0.858	24.700
9.645	0.859	24.747
9.665	0.860	24.780
9.685	0.864	24.895
9.725	0.868	25.023
9.745	0.862	24.821
9.785	0.875	25.245
9.805	0.870	25.098
9.825	0.871	25.123
9.845	0.872	25.158
9.885	0.876	25.290
9.905	0.888	25.670
9.925	0.874	25.210
9.945	0.853	24.561
9.965	0.874	25.221
9.985	0.870	25.096
10.025	0.863	24.881
10.045	0.869	25.064
10.065	0.889	25.712
10.085	0.873	25.203
10.105	0.856	24.654
10.125	0.875	25.266
10.145	0.867	25.004
10.185	0.858	24.705
10.205	0.871	25.114
10.225	0.889	25.718
10.245	0.879	25.375
10.265	0.849	24.422
10.285	0.873	25.197
10.305	0.871	25.124
10.325	0.873	25.176
10.345	0.870	25.094
10.365	0.875	25.265
10.385	0.876	25.298
10.405	0.882	25.495
10.445	0.881	25.447
10.465	0.889	25.718
10.485	0.887	25.632
10.525	0.881	25.465
10.545	0.883	25.510
10.565	0.895	25.908
10.585	0.893	25.842
10.605	0.884	25.545
10.625	0.895	25.910
10.645	0.877	25.335
10.665	0.902	26.136
10.685	0.898	26.002
10.705	0.892	25.815
10.725	0.888	25.684
10.745	0.869	25.059
10.765	0.871	25.115
10.785	0.885	25.570
10.805	0.862	24.826
10.825	0.854	24.575
10.865	0.887	25.628
10.885	0.851	24.483
10.905	0.851	24.474
10.925	0.867	25.010
10.945	0.870	25.089
10.965	0.883	25.502
10.985	0.875	25.265
11.005	0.864	24.910
11.025	0.890	25.728
11.065	0.879	25.387
11.105	0.887	25.643
11.145	0.859	24.725
11.165	0.893	25.831
11.185	0.876	25.295
11.205	0.869	25.058
11.245	0.869	25.077
11.265	0.870	25.088
11.285	0.870	25.088
11.305	0.876	25.274
11.325	0.857	24.673
11.345	0.878	25.365
11.365	0.876	25.287
11.385	0.882	25.476
11.405	0.875	25.254
11.425	0.879	25.388
11.445	0.873	25.176
11.465	0.874	25.216
11.485	0.880	25.421
11.505	0.877	25.312
11.525	0.870	25.093
11.545	0.879	25.382
11.565	0.880	25.414
11.585	0.870	25.085
11.605	0.882	25.491
11.625	0.862	24.823
11.645	0.878	25.365
11.665	0.881	25.443
11.685	0.876	25.288
11.705	0.878	25.367
11.725	0.897	25.967
11.745	0.881	25.437
11.765	0.876	25.297
11.785	0.885	25.588
11.805	0.869	25.058
11.825	0.870	25.100
11.845	0.857	24.680
11.865	0.869	25.061
11.885	0.868	25.025
11.905	0.869	25.060
11.925	0.866	24.968
11.945	0.879	25.385
11.965	0.875	25.241
12.005	0.870	25.093
12.025	0.875	25.254
12.045	0.871	25.140
12.065	0.864	24.903
12.085	0.859	24.731
12.105	0.874	25.226
12.125	0.871	25.120
12.145	0.875	25.271
12.165	0.879	25.382
12.185	0.877	25.328
12.205	0.857	24.667
12.225	0.877	25.326
12.245	0.867	25.009
12.265	0.895	25.904
12.285	0.864	24.917
12.305	0.899	26.037
12.325	0.897	25.980
12.345	0.895	25.914
12.385	0.902	26.124
12.405	0.892	25.793
12.425	0.900	26.079
12.445	0.861	24.805
12.465	0.887	25.643
12.505	0.889	25.714
12.525	0.869	25.072
12.545	0.878	25.338
12.585	0.885	25.581
12.605	0.864	24.906
12.625	0.885	25.592
12.665	0.866	24.979
12.705	0.868	25.024
12.725	0.878	25.367
12.745	0.881	25.438
12.765	0.881	25.446
12.785	0.869	25.065
12.825	0.865	24.921
12.865	0.867	25.008
12.885	0.879	25.391
12.905	0.871	25.132
12.925	0.858	24.715
12.945	0.867	24.986
12.985	0.851	24.489
13.005	0.837	24.025
13.025	0.842	24.190
13.065	0.873	25.176
13.085	0.851	24.488
13.105	0.840	24.115
13.125	0.840	24.133
13.145	0.846	24.324
13.165	0.834	23.920
13.185	0.859	24.736
13.225	0.860	24.782
13.245	0.850	24.437
13.265	0.863	24.873
13.285	0.880	25.426
13.305	0.870	25.099
13.325	0.841	24.168
13.345	0.880	25.413
13.365	0.860	24.757
13.385	0.870	25.096
13.405	0.865	24.932
13.425	0.874	25.234
13.465	0.876	25.282
13.485	0.856	24.654
13.505	0.869	25.067
13.525	0.865	24.949
13.545	0.872	25.168
13.565	0.854	24.569
13.585	0.870	25.083
13.605	0.853	24.558
13.625	0.891	25.766
13.645	0.852	24.508
13.665	0.882	25.470
13.685	0.880	25.429
13.705	0.883	25.503
13.725	0.885	25.581
13.745	0.890	25.739
13.765	0.870	25.109
13.785	0.894	25.873
13.825	0.882	25.483
13.865	0.881	25.448
13.905	0.883	25.530
13.945	0.903	26.147
13.965	0.877	25.309
13.985	0.899	26.023
14.025	0.897	25.956
14.065	0.885	25.579
14.085	0.889	25.707
14.105	0.889	25.720
14.145	0.891	25.786
14.165	0.898	26.001
14.185	0.904	26.193
14.205	0.887	25.634
14.225	0.910	26.392
14.245	0.885	25.567
14.265	0.911	26.413
14.285	0.892	25.790
14.305	0.905	26.210
14.325	0.890	25.752
14.345	0.904	26.199
14.365	0.888	25.685
14.385	0.908	26.309
14.405	0.888	25.690
14.425	0.903	26.159
14.445	0.899	26.024
14.465	0.885	25.578
14.485	0.881	25.449
14.505	0.899	26.036
14.525	0.909	26.342
14.545	0.900	26.055
14.565	0.892	25.800
14.605	0.897	25.972
14.625	0.884	25.543
14.645	0.883	25.511
14.665	0.897	25.969
14.685	0.899	26.042
14.705	0.898	25.988
14.745	0.896	25.932
14.785	0.904	26.192
14.805	0.902	26.143
14.825	0.897	25.966
14.845	0.900	26.047
14.865	0.898	26.007
14.885	0.907	26.279
14.905	0.895	25.912
14.925	0.881	25.451
14.945	0.907	26.278
14.965	0.902	26.119
14.985	0.910	26.373
15.005	0.906	26.261
15.025	0.916	26.575
15.045	0.895	25.908
15.065	0.915	26.550
15.085	0.913	26.482
15.105	0.924	26.837
15.125	0.919	26.663
15.145	0.923	26.817
15.165	0.926	26.889
15.185	0.922	26.782
15.205	0.915	26.556
15.225	0.920	26.699
15.245	0.906	26.272
15.265	0.915	26.554
15.285	0.912	26.452
15.305	0.907	26.297
15.325	0.899	26.024
15.345	0.916	26.588
15.365	0.904	26.182
15.385	0.904	26.202
15.405	0.896	25.936
15.425	0.915	26.543
15.445	0.900	26.060
15.465	0.898	25.993
15.485	0.893	25.831
15.505	0.903	26.161
15.525	0.906	26.242
15.545	0.919	26.689
15.585	0.923	26.814
15.605	0.913	26.486
15.625	0.924	26.832
15.645	0.916	26.586
15.665	0.925	26.867
15.685	0.927	26.940
15.705	0.926	26.888
15.725	0.917	26.625
15.745	0.926	26.908
15.765	0.915	26.539
15.785	0.929	26.985
15.825	0.918	26.647
15.845	0.927	26.936
15.865	0.907	26.301
15.885	0.915	26.537
15.905	0.908	26.313
15.925	0.912	26.451
15.945	0.906	26.272
15.965	0.920	26.712
15.985	0.912	26.448
16.005	0.895	25.913
16.025	0.915	26.536
16.045	0.916	26.563
16.065	0.912	26.434
16.085	0.931	27.060
16.105	0.911	26.408
16.125	0.921	26.732
16.145	0.912	26.455
16.165	0.932	27.097
16.185	0.915	26.552
16.205	0.926	26.907
16.225	0.922	26.758
16.245	0.930	27.018
16.265	0.923	26.806
16.285	0.916	26.591
16.305	0.928	26.975
16.325	0.930	27.046
16.345	0.932	27.106
16.365	0.933	27.134
16.385	0.934	27.163
16.405	0.921	26.733
16.445	0.931	27.071
16.465	0.935	27.188
16.505	0.934	27.165
16.525	0.921	26.750
16.545	0.936	27.232
16.585	0.934	27.147
16.605	0.922	26.769
16.625	0.924	26.827
16.645	0.921	26.732
16.665	0.917	26.614
16.685	0.923	26.813
16.705	0.909	26.356
16.725	0.904	26.177
16.765	0.893	25.831
16.785	0.906	26.263
16.805	0.910	26.371
16.825	0.900	26.065
16.845	0.896	25.918
16.865	0.896	25.936
16.885	0.877	25.322
16.905	0.892	25.821
16.925	0.895	25.910
16.945	0.889	25.710
16.985	0.896	25.942
17.005	0.894	25.878
17.025	0.889	25.721
17.045	0.898	25.986
17.065	0.903	26.175
17.085	0.914	26.522
17.105	0.905	26.230
17.125	0.893	25.832
17.145	0.908	26.336
17.165	0.907	26.291
17.185	0.920	26.722
17.205	0.914	26.522
17.225	0.934	27.152
17.245	0.914	26.501
17.265	0.924	26.833
17.285	0.926	26.889
17.305	0.926	26.895
17.325	0.917	26.604
17.345	0.927	26.929
17.365	0.928	26.961
17.385	0.923	26.818
17.405	0.923	26.801
17.425	0.922	26.781
17.445	0.930	27.033
17.465	0.930	27.027
17.485	0.925	26.862
17.505	0.928	26.966
17.525	0.920	26.692
17.545	0.926	26.896
17.585	0.927	26.945
17.605	0.933	27.113
17.625	0.934	27.157
17.645	0.920	26.695
17.665	0.935	27.194
17.685	0.922	26.786
17.705	0.934	27.153
17.725	0.926	26.915
17.745	0.932	27.099
17.765	0.931	27.058
17.805	0.941	27.395
17.825	0.934	27.152
17.845	0.937	27.248
17.865	0.935	27.186
17.885	0.935	27.178
17.905	0.933	27.114
17.925	0.941	27.370
17.945	0.939	27.324
17.965	0.938	27.289
17.985	0.940	27.358
18.005	0.937	27.243
18.025	0.933	27.130
18.045	0.932	27.110
18.065	0.936	27.224
18.085	0.934	27.167
18.105	0.926	26.899
18.125	0.939	27.335
18.145	0.943	27.457
18.165	0.932	27.104
18.185	0.939	27.306
18.205	0.946	27.560
18.225	0.939	27.333
18.245	0.935	27.185
18.265	0.937	27.260
18.285	0.939	27.316
18.305	0.943	27.466
18.325	0.931	27.078
18.345	0.941	27.395
18.365	0.951	27.707
18.385	0.941	27.396
18.405	0.936	27.220
18.425	0.943	27.441
18.445	0.946	27.533
18.465	0.943	27.441
18.485	0.938	27.292
18.505	0.941	27.385
18.525	0.939	27.309
18.545	0.937	27.270
18.565	0.944	27.468
18.585	0.939	27.324
18.605	0.946	27.556
18.625	0.941	27.374
18.665	0.932	27.085
18.685	0.944	27.494
18.705	0.924	26.833
18.725	0.916	26.587
18.745	0.914	26.530
18.765	0.896	25.930
18.785	0.917	26.599
18.805	0.908	26.313
18.825	0.909	26.343
18.845	0.922	26.764
18.865	0.915	26.535
18.885	0.909	26.349
18.905	0.929	26.991
18.925	0.921	26.727
18.945	0.925	26.866
18.965	0.921	26.731
18.985	0.936	27.222
19.005	0.941	27.375
19.025	0.932	27.085
19.045	0.922	26.761
19.065	0.934	27.145
19.085	0.938	27.298
19.105	0.933	27.130
19.125	0.917	26.625
19.145	0.931	27.062
19.165	0.923	26.813
19.185	0.913	26.477
19.205	0.906	26.258
19.225	0.909	26.356
19.245	0.906	26.249
19.265	0.907	26.282
19.285	0.896	25.935
19.305	0.880	25.420
19.325	0.885	25.592
19.345	0.893	25.823
19.365	0.903	26.168
19.385	0.908	26.337
19.405	0.904	26.176
19.425	0.919	26.685
19.445	0.926	26.902
19.465	0.921	26.724
19.485	0.920	26.702
19.505	0.929	26.997
19.525	0.934	27.168
19.545	0.932	27.110
19.565	0.925	26.861
19.585	0.934	27.162
19.605	0.946	27.556
19.625	0.935	27.208
19.645	0.950	27.662
19.665	0.941	27.401
19.685	0.951	27.696
19.705	0.950	27.661
19.725	0.951	27.702
19.745	0.939	27.319
19.765	0.958	27.935
19.785	0.944	27.475
19.805	0.955	27.844
19.825	0.944	27.486
19.845	0.948	27.625
19.865	0.946	27.543
19.905	0.947	27.591
19.925	0.950	27.688
19.945	0.949	27.653
19.965	0.953	27.767
19.985	0.957	27.914
20.005	0.950	27.666
20.025	0.958	27.935
20.045	0.953	27.782
20.065	0.966	28.177
20.085	0.951	27.721
20.105	0.965	28.172
20.125	0.959	27.973
20.145	0.964	28.121
20.165	0.955	27.826
20.185	0.964	28.114
20.205	0.964	28.125
20.225	0.966	28.194
20.245	0.965	28.161
20.265	0.974	28.457
20.285	0.968	28.258
20.305	0.971	28.366
20.325	0.971	28.348
20.345	0.974	28.452
20.365	0.971	28.362
20.385	0.973	28.430
20.405	0.977	28.547
20.425	0.972	28.395
20.445	0.972	28.397
20.485	0.989	28.921
20.505	0.986	28.832
20.525	0.977	28.557
20.545	0.977	28.546
20.565	0.982	28.719
20.585	0.985	28.814
20.605	0.981	28.662
20.625	0.982	28.716
20.645	0.976	28.506
20.665	0.983	28.756
20.685	0.983	28.731
20.705	0.983	28.726
20.725	0.979	28.622
20.745	0.983	28.742
20.765	0.979	28.604
20.785	0.986	28.822
20.805	0.984	28.774
20.825	0.988	28.896
20.845	0.975	28.487
20.865	0.976	28.501
20.885	0.965	28.164
20.905	0.981	28.672
20.925	0.971	28.353
20.945	0.984	28.758
20.965	0.978	28.586
20.985	0.974	28.463
21.005	0.960	28.013
21.025	0.981	28.685
21.045	0.968	28.269
21.065	0.966	28.207
21.085	0.957	27.896
21.105	0.958	27.940
21.125	0.953	27.759
21.145	0.981	28.664
21.165	0.979	28.610
21.185	0.983	28.742
21.205	0.977	28.554
21.225	0.984	28.764
21.245	0.971	28.354
21.265	0.981	28.686
21.285	0.973	28.420
21.305	0.983	28.739
21.325	0.978	28.573
21.345	0.977	28.542
21.365	0.974	28.461
21.385	0.979	28.624
21.405	0.967	28.236
21.425	0.977	28.556
21.445	0.942	27.412
21.485	0.965	28.174
21.505	0.965	28.174
21.525	0.924	26.830
21.545	0.946	27.559
21.585	0.946	27.545
21.625	0.940	27.357
21.665	0.933	27.125
21.685	0.928	26.977
21.705	0.934	27.153
21.725	0.937	27.259
21.745	0.931	27.059
21.765	0.926	26.889
21.785	0.924	26.822
